ky_cd,ofns_desc,law_cat_cd
113,FORGERY,FELONY
344,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR
106,FELONY ASSAULT,FELONY
235,DANGEROUS DRUGS,MISDEMEANOR
118,DANGEROUS WEAPONS,FELONY
341,PETIT LARCENY,MISDEMEANOR
105,ROBBERY,FELONY
109,GRAND LARCENY,FELONY
359,OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR
351,CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR
578,HARRASSMENT 2,VIOLATION
107,BURGLARY,FELONY
352,CRIMINAL TRESPASS,MISDEMEANOR
126,MISCELLANEOUS PENAL LAW,FELONY
678,MISCELLANEOUS PENAL LAW,VIOLATION
117,DANGEROUS DRUGS,FELONY
361,OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR
348,VEHICLE AND TRAFFIC LAWS,MISDEMEANOR
110,GRAND LARCENY OF MOTOR VEHICLE,FELONY
236,DANGEROUS WEAPONS,MISDEMEANOR
347,INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR
121,CRIMINAL MISCHIEF & RELATED OF,FELONY
358,OFFENSES INVOLVING FRAUD,MISDEMEANOR
343,OTHER OFFENSES RELATED TO THEF,MISDEMEANOR
350,GAMBLING,MISDEMEANOR
238,FRAUDULENT ACCOSTING,MISDEMEANOR
355,OFFENSES AGAINST THE PERSON,MISDEMEANOR
114,ARSON,FELONY
353,UNAUTHORIZED USE OF A VEHICLE,MISDEMEANOR
340,FRAUDS,MISDEMEANOR
112,THEFT-FRAUD,FELONY
365,ADMINISTRATIVE CODE,MISDEMEANOR
120,CHILD ABANDONMENT/NON SUPPORT,FELONY
364,OTHER STATE LAWS (NON PENAL LA,MISDEMEANOR
232,POSSESSION OF STOLEN PROPERTY,MISDEMEANOR
111,POSSESSION OF STOLEN PROPERTY,FELONY
125,NYS LAWS-UNCLASSIFIED FELONY,FELONY
231,BURGLAR'S TOOLS,MISDEMEANOR
346,ALCOHOLIC BEVERAGE CONTROL LAW,MISDEMEANOR
675,ADMINISTRATIVE CODE,VIOLATION
233,SEX CRIMES,MISDEMEANOR
124,KIDNAPPING & RELATED OFFENSES,FELONY
345,ENDAN WELFARE INCOMP,MISDEMEANOR
572,DISORDERLY CONDUCT,VIOLATION
349,DISRUPTION OF A RELIGIOUS SERV,MISDEMEANOR
342,PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR
363,OFFENSES AGAINST PUBLIC SAFETY,MISDEMEANOR
230,JOSTLING,MISDEMEANOR
354,ANTICIPATORY OFFENSES,MISDEMEANOR
237,ESCAPE 3,MISDEMEANOR
356,PROSTITUTION & RELATED OFFENSES,MISDEMEANOR
455,UNLAWFUL POSS. WEAP. ON SCHOOL,VIOLATION
366,NEW YORK CITY HEALTH CODE,MISDEMEANOR
677,NYS LAWS-UNCLASSIFIED VIOLATION,VIOLATION
122,GAMBLING,FELONY
571,"LOITERING/GAMBLING (CARDS, DIC",VIOLATION
115,PROSTITUTION & RELATED OFFENSES,FELONY
123,ABORTION,FELONY
672,LOITERING,VIOLATION
116,SEX CRIMES,FELONY
102,HOMICIDE-NEGLIGENT-VEHICLE,FELONY
119,INTOXICATED/IMPAIRED DRIVING,FELONY
357,FORTUNE TELLING,MISDEMEANOR
577,UNDER THE INFLUENCE OF DRUGS,VIOLATION
676,NEW YORK CITY HEALTH CODE,VIOLATION
103,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",FELONY
234,PROSTITUTION & RELATED OFFENSES,MISDEMEANOR
360,LOITERING FOR DRUG PURPOSES,MISDEMEANOR
